clientId,ms,x,y,z
alpha,1,0.025390625,0.029296875,0.978515625
alpha,4,0.017578125,0.033203125,0.984375
alpha,6,0.02734375,0.02734375,0.98828125
alpha,9,0.021484375,0.033203125,0.984375
alpha,11,0.025390625,0.03515625,0.974609375
alpha,14,0.01953125,0.03515625,0.9765625
alpha,16,0.0234375,0.037109375,0.9765625
alpha,18,0.01953125,0.033203125,0.978515625
alpha,21,0.017578125,0.033203125,0.978515625
alpha,24,0.021484375,0.04296875,0.982421875
alpha,26,0.025390625,0.044921875,0.98828125
alpha,29,0.02734375,0.04296875,0.984375
alpha,31,0.0234375,0.041015625,0.9765625
alpha,34,0.017578125,0.037109375,0.9765625
alpha,36,0.0234375,0.04296875,0.982421875
alpha,38,0.0234375,0.041015625,0.984375
alpha,41,0.021484375,0.0390625,0.984375
alpha,43,0.025390625,0.04296875,0.98046875
alpha,46,0.025390625,0.04296875,0.978515625
alpha,48,0.02734375,0.041015625,0.97265625
alpha,51,0.025390625,0.0390625,0.98046875
alpha,53,0.025390625,0.037109375,0.98046875
alpha,56,0.025390625,0.037109375,0.978515625
alpha,58,0.025390625,0.04296875,0.986328125
alpha,61,0.029296875,0.04296875,0.986328125
alpha,63,0.017578125,0.0390625,0.98046875
alpha,66,0.025390625,0.03515625,0.986328125
alpha,68,0.033203125,0.033203125,0.984375
alpha,71,0.037109375,0.033203125,0.978515625
alpha,74,0.03125,0.03515625,0.984375
alpha,76,0.029296875,0.037109375,0.984375
alpha,79,0.02734375,0.03515625,0.9765625
alpha,81,0.0234375,0.0390625,0.978515625
alpha,84,0.03125,0.033203125,0.98046875
alpha,86,0.021484375,0.03515625,0.974609375
alpha,89,0.033203125,0.03125,0.96484375
alpha,91,0.029296875,0.03125,0.98828125
alpha,94,0.03515625,0.033203125,0.96875
alpha,96,0.02734375,0.029296875,1.001953125
alpha,99,0.017578125,0.03515625,0.982421875
alpha,101,0.0078125,0.03515625,0.998046875
alpha,104,0.017578125,0.03125,1.013671875
alpha,106,0.03515625,0.033203125,0.978515625
alpha,109,0.0234375,0.041015625,1.0
alpha,112,0.013671875,0.037109375,0.9765625
alpha,114,0.017578125,0.03515625,1.0
alpha,117,0.03515625,0.041015625,0.955078125
alpha,119,0.04296875,0.04296875,0.955078125
alpha,122,0.029296875,0.037109375,0.990234375
alpha,125,0.03515625,0.037109375,0.96484375
alpha,129,0.01953125,0.041015625,0.974609375
alpha,131,0.015625,0.0390625,0.9765625
alpha,134,0.02734375,0.044921875,0.966796875
alpha,136,0.021484375,0.03125,0.98046875
alpha,139,0.0234375,0.037109375,0.97265625
alpha,142,0.017578125,0.0390625,0.974609375
alpha,146,0.03125,0.04296875,0.98046875
alpha,149,0.017578125,0.0390625,1.001953125
alpha,151,0.017578125,0.029296875,0.99609375
alpha,154,0.029296875,0.03515625,0.98046875
alpha,156,0.02734375,0.03125,0.98828125
alpha,159,0.0234375,0.041015625,0.986328125
alpha,161,0.01953125,0.048828125,0.998046875
alpha,164,0.0078125,0.037109375,1.013671875
alpha,166,0.01953125,0.041015625,0.96875
alpha,169,0.021484375,0.04296875,0.978515625
alpha,171,0.015625,0.0390625,0.98828125
alpha,174,0.017578125,0.044921875,0.96875
alpha,176,0.02734375,0.04296875,0.974609375
alpha,178,0.01953125,0.0390625,0.986328125
alpha,181,0.021484375,0.029296875,0.982421875
alpha,183,0.03125,0.041015625,0.970703125
alpha,186,0.037109375,0.03515625,0.986328125
alpha,188,0.03125,0.037109375,0.994140625
alpha,191,0.02734375,0.037109375,0.990234375
alpha,193,0.015625,0.041015625,0.98046875
alpha,196,0.0234375,0.03515625,0.9765625
alpha,198,0.029296875,0.033203125,0.98828125
alpha,201,0.025390625,0.037109375,0.9609375
alpha,203,0.01953125,0.03125,0.98828125
alpha,206,0.013671875,0.03515625,0.9765625
alpha,208,0.01953125,0.025390625,0.9921875
alpha,211,0.02734375,0.03125,0.994140625
alpha,214,0.0390625,0.03515625,0.966796875
alpha,216,0.02734375,0.037109375,1.001953125
alpha,219,0.025390625,0.03125,1.013671875
alpha,221,0.02734375,0.025390625,1.013671875
alpha,224,0.015625,0.025390625,1.021484375
alpha,226,0.0234375,0.03515625,0.96875
alpha,229,0.04296875,0.02734375,0.990234375
alpha,232,0.0390625,0.037109375,0.951171875
alpha,236,0.033203125,0.041015625,0.978515625
alpha,239,0.025390625,0.0390625,0.96484375
alpha,241,0.037109375,0.033203125,0.955078125
alpha,244,0.041015625,0.044921875,0.96875
alpha,246,0.048828125,0.04296875,0.9453125
alpha,249,0.03515625,0.02734375,0.974609375
alpha,251,0.03515625,0.03515625,0.966796875
alpha,254,0.01171875,0.0390625,0.958984375
alpha,256,0.017578125,0.046875,0.9609375
alpha,259,0.02734375,0.044921875,0.951171875
alpha,262,0.033203125,0.044921875,0.951171875
alpha,264,0.015625,0.041015625,0.9609375
alpha,267,0.021484375,0.046875,0.98046875
alpha,269,0.009765625,0.03515625,1.03125
alpha,272,0.033203125,0.037109375,1.005859375
alpha,276,0.025390625,0.033203125,0.998046875
alpha,279,0.02734375,0.03515625,0.998046875
alpha,282,0.0234375,0.021484375,0.98046875
alpha,284,0.0390625,0.044921875,0.955078125
alpha,287,0.021484375,0.044921875,0.96484375
alpha,289,0.021484375,0.041015625,0.990234375
alpha,292,0.029296875,0.037109375,0.984375
alpha,296,0.033203125,0.0390625,0.9765625
alpha,298,0.03125,0.0390625,0.9765625
alpha,301,0.02734375,0.037109375,0.9765625
alpha,303,0.0234375,0.0390625,0.978515625
alpha,305,0.0234375,0.04296875,0.984375
alpha,308,0.0234375,0.041015625,0.974609375
alpha,310,0.021484375,0.041015625,0.978515625
alpha,313,0.0234375,0.04296875,0.982421875
alpha,315,0.01953125,0.03515625,0.982421875
alpha,318,0.021484375,0.03515625,0.978515625
alpha,320,0.025390625,0.03515625,0.974609375
alpha,323,0.017578125,0.0390625,0.978515625
alpha,325,0.01953125,0.033203125,0.9765625
alpha,328,0.0234375,0.033203125,0.9765625
alpha,330,0.025390625,0.037109375,0.982421875
alpha,333,0.029296875,0.041015625,0.982421875
alpha,336,0.025390625,0.04296875,0.984375
alpha,338,0.025390625,0.037109375,0.984375
alpha,341,0.0234375,0.037109375,0.982421875
alpha,343,0.0234375,0.04296875,0.98046875
